AC1,AC2,AC3,AC4,Dish washer,Washing Machine,Dryer,Water heater,TV,Microwave,Kettle,Lighting,Refrigerator,Consumption_Total,Generation_Total,TemperatureC,DewpointC,PressurehPa,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,dailyrainMM,SolarRadiationWatts_m2,Power_Demand
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452,0.0,0.0,0.0,0.0,0.0,1.787318675458677,0.0,8,4,1030,5,7,76,0,0,0,1.787318675458677
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.14,1.824895623727337,0.0,8,4,1030,3,6,76,0,0,0,1.824895623727337
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.598,0.0,0.0,0.0,0.0,0.0,1.858875786015621,0.0,8,4,1030,4,6,78,0,0,0,1.858875786015621
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,1.771606399860195,0.0,8,4,1030,3,6,78,0,0,0,1.771606399860195
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.435,0.0,0.0,0.0,0.0,0.14,1.818175313079793,0.0,8,4,1030,2,8,78,0,0,0,1.818175313079793
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.626,0.0,0.0,0.0,0.0,0.14,1.795837379096409,0.0,7,4,1030,3,4,78,0,0,0,1.795837379096409
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497,0.0,0.0,0.0,0.0,0.0,1.7693347455568,0.0,7,4,1030,4,8,80,0,0,0,1.7693347455568
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291,0.0,0.0,0.0,0.0,0.0,1.782018148750756,0.0,7,4,1030,3,7,81,0,0,0,1.782018148750756
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335,0.0,0.0,0.0,0.0,0.0,1.801232558066973,0.0,7,4,1030,4,14,81,0,0,0,1.801232558066973
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234,0.0,0.0,0.0,0.0,0.14,1.848842646175626,0.0,7,4,1030,4,9,81,0,0,0,1.848842646175626
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.802273732956028,0.0,6,3,1031,4,10,82,0,0,0,1.802273732956028
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.880361849635232,0.0,6,3,1030,4,7,82,0,0,0,1.880361849635232
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.851587561792229,0.0,6,3,1030,3,8,82,0,0,0,1.851587561792229
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.830196150435258,0.0,6,3,1030,5,6,82,0,0,0,1.830196150435258
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.799339512814142,0.0,6,3,1030,3,8,81,0,0,0,1.799339512814142
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.736111801369648,0.0,6,3,1030,3,6,81,0,0,0,1.736111801369648
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.768293570667744,0.0,6,3,1030,3,5,81,0,0,0,1.768293570667744
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73109523144965,0.0,6,3,1030,4,10,82,0,0,0,1.73109523144965
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.730811274661726,0.0,6,3,1030,4,6,82,0,0,0,1.730811274661726
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79981277412735,0.0,6,3,1030,5,7,82,0,0,0,1.79981277412735
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.749457770402094,0.0,6,3,1030,4,8,82,0,0,0,1.749457770402094
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.818837878918284,0.0,6,3,1030,5,9,82,0,0,0,1.818837878918284
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.763939566586237,0.0,5,3,1030,4,10,82,0,0,0,1.763939566586237
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.699197418939479,0.0,5,3,1030,4,9,83,0,0,0,1.699197418939479
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.783437932690378,0.0,5,3,1030,4,11,83,0,0,0,1.783437932690378
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.697020416898725,0.0,5,2,1031,3,6,83,0,0,0,1.697020416898725
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.735070626480592,0.0,5,2,1031,5,7,84,0,0,0,1.735070626480592
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.757881821777184,0.0,5,2,1031,4,10,84,0,0,0,1.757881821777184
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.684526318230053,0.0,5,2,1031,5,11,83,0,0,0,1.684526318230053
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.753149208645111,0.0,5,2,1031,5,9,84,0,0,0,1.753149208645111
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.505,0.0,0.0,0.0,1.742264198441343,0.0,5,2,1031,5,10,84,0,0,0,1.742264198441343
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.769050788768876,0.0,5,2,1031,5,10,84,0,0,1,1.769050788768876
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.744914461795304,0.0,5,2,1031,3,9,84,0,0,9,1.744914461795304
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.702415595869288,0.0,5,2,1032,4,8,84,0,0,19,1.702415595869288
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.759017648928881,0.0,5,3,1032,6,9,83,0,0,40,1.759017648928881
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.727119836418709,0.0,6,3,1032,5,11,82,0,0,73,1.727119836418709
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.711691517608152,0.0,6,3,1032,3,8,81,0,0,112,1.711691517608152
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,2.25641528910975,0.0,7,3,1032,3,6,79,0,0,155,2.25641528910975
0.0,0.0,0.0,0.0,0.0,2.0776193548387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.470802663992655,0.0,7,3,1032,1,6,76,0,0,196,2.470802663992655
0.0,0.0,0.0,0.0,0.0,2.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.494749686440945,0.0,8,4,1032,3,8,75,0,0,230,2.494749686440945
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,2.167347509964137,0.0,8,4,1032,4,6,74,0,0,262,2.167347509964137
0.0,0.0,0.0,0.0,0.0,0.0,0.81755625,0.0,0.0,0.0,0.0,0.0,0.14,1.728918229408897,0.0,9,4,1032,4,10,72,0,0,291,1.728918229408897
0.0,0.0,0.0,0.0,0.001,0.0,1.08706874999999,0.0,0.0,0.0,0.0,0.0,0.0,1.838998810860915,0.0,9,4,1033,3,8,71,0,0,316,1.838998810860915
0.0,0.0,0.0,0.0,1.035688,0.0,0.0443312499999999,0.452,0.0,0.0,0.0,0.0,0.0,1.822907926211867,0.0,10,5,1032,2,6,70,0,0,337,1.822907926211867
0.0,0.0,0.0,0.0,1.438032,0.0,0.035775,0.128,0.0,0.0,0.0,0.0,0.0,1.848369384862419,0.0,10,5,1032,3,6,68,0,0,357,1.848369384862419
0.0,0.0,0.0,0.0,0.011448,0.0,0.0,0.598,0.0,0.0,0.0,0.0,0.14,1.813253395422437,0.0,11,5,1032,2,6,66,0,0,375,1.813253395422437
0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,1.833130370577144,0.0,12,5,1032,1,4,64,0,0,396,1.833130370577144
0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.435,0.0,0.0,0.0,0.0,0.0,1.819973706069981,0.0,12,5,1032,1,4,62,0,0,406,1.819973706069981
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.626,0.0305055555555555,0.0,0.0,0.0,0.14,1.802368385218669,0.0,13,6,1032,1,3,60,0,0,418,1.802368385218669
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497,0.0806888888888888,0.0,0.0,0.0,0.0,1.868151707754484,0.0,14,5,1031,1,4,57,0,0,420,1.868151707754484
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291,0.07925,0.0,0.0,0.0,0.0,1.86464957403675,0.0,14,5,1031,2,5,55,0,0,423,1.86464957403675
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335,0.0749555555555555,0.0,0.0,0.0,0.14,1.892761296041264,0.0,14,5,1031,3,6,52,0,0,420,1.892761296041264
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234,0.0811222222222222,0.0,0.0,0.0,0.14,1.841459769689592,0.0,15,4,1031,3,6,49,0,0,416,1.841459769689592
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0801722222222222,1.505,0.0,0.0,0.0,1.823475839787716,0.0,15,5,1031,3,6,50,0,0,407,1.823475839787716
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00285,0.0,0.0,0.0,0.0,1.871653841472218,0.0,15,5,1031,2,6,52,0,0,393,1.871653841472218
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603692131127228,0.0,15,6,1031,4,7,53,0,0,372,0.603692131127228
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10306875,0.0,0.0,0.0,0.14,0.5594895244736664,0.0,15,6,1031,4,7,54,0,0,291,0.5594895244736664
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12691875,0.0,0.0,0.0,0.0,0.382395141071496,0.0,15,7,1031,5,8,56,0,0,326,0.382395141071496
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126775,0.0,0.0,0.032,0.0,1.012968514788898,0.0,15,7,1031,3,8,60,0,0,308,1.012968514788898
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12668125,0.0,0.0,0.22,0.0,1.72068348255909,0.0,15,7,1031,6,9,60,0,0,292,1.72068348255909
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1238,1.505,0.0,0.22,0.0,1.896168777496356,0.0,14,6,1031,5,12,58,0,0,243,1.896168777496356
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12624375,0.0,0.0,0.22,0.0,1.66616377927761,0.0,14,6,1031,5,11,60,0,0,208,1.66616377927761
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126075,0.0,0.0,0.22,0.0,0.9373413569383723,0.0,14,6,1031,4,10,60,0,0,192,0.9373413569383723
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12623125,0.0,0.0,0.22,0.0,0.9215344290772483,0.0,13,5,1031,8,12,59,0,0,115,0.9215344290772483
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12593125,0.0,0.0,0.22,0.0,0.9674407764583564,0.0,13,6,1031,4,8,62,0,0,114,0.9674407764583564
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1259875,0.0,0.0,0.22,0.0,0.9147194661670633,0.0,13,6,1031,4,7,65,0,0,69,0.9147194661670633
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12714375,0.0,0.0,0.22,0.0,0.9758648278334463,0.0,13,7,1031,4,6,68,0,0,30,0.9758648278334463
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126975,0.0,0.0,0.22,0.0,1.089258238477915,0.0,12,7,1031,4,8,71,0,0,15,1.089258238477915
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.377,0.1272375,0.0,0.0,0.22,0.14,1.146428205113356,0.0,12,7,1031,2,5,74,0,0,8,1.146428205113356
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.387,0.1265,0.0,0.0,0.22,0.0,1.338572298275519,0.0,12,7,1031,2,4,76,0,0,0,1.338572298275519
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456,0.1263,0.0,0.0,0.22,0.0,1.12787636163563,0.0,11,8,1031,2,4,78,0,0,0,1.12787636163563
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.1031125,0.0,0.0,0.22,0.14,1.021487218426629,0.0,11,8,1031,1,2,80,0,0,0,1.021487218426629
0.0,0.0,0.0,0.0,0.0,0.0003625,0.0,0.0,0.01429375,0.0,0.0,0.0,0.14,1.032182924105115,0.0,11,7,1031,0,2,80,0,0,0,1.032182924105115
0.0,0.0,0.0,0.0,0.0,1.0504875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.060483950634911,0.0,11,7,1031,2,4,80,0,0,0,1.060483950634911
0.0,0.0,0.0,0.0,0.0,0.53004375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.014672255516444,0.0,10,7,1031,1,3,81,0,0,0,1.014672255516444
0.0,0.0,0.0,0.0,0.0,0.10714375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.043825152410014,0.0,10,7,1032,2,2,81,0,0,0,1.043825152410014
0.0,0.0,0.0,0.0,0.0,0.17709375,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.060483950634911,0.0,10,7,1032,1,4,82,0,0,0,1.060483950634911
0.0,0.0,0.0,0.0,0.0,0.028525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3177476456873791,0.0,10,7,1032,1,2,83,0,0,0,0.3177476456873791
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3409374500345367,0.0,9,7,1032,2,3,84,0,0,0,0.3409374500345367
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.3602465116133944,0.0,9,7,1032,0,2,86,0,0,0,0.3602465116133944
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2746808661855152,0.0,9,7,1032,1,0,86,0,0,0,0.2746808661855152
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339328361569632,0.0,9,7,1032,0,4,85,0,0,0,0.339328361569632
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2835781788738123,0.0,9,7,1032,0,2,84,0,0,0,0.2835781788738123
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2731664299832517,0.0,9,6,1032,1,1,86,0,0,0,0.2731664299832517
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.347373803894156,0.0,8,6,1032,0,2,87,0,0,0,0.347373803894156
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261050940365145,0.0,8,6,1032,0,0,87,0,0,0,0.261050940365145
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2876482261673951,0.0,7,6,1032,1,2,88,0,0,0,0.2876482261673951
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.3361101846398224,0.0,7,6,1032,2,3,89,0,0,0,0.3361101846398224
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2988171931590873,0.0,7,6,1032,3,4,89,0,0,0,0.2988171931590873
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3680079971499941,0.0,7,6,1032,2,4,90,0,0,0,0.3680079971499941
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3241839995469984,0.0,7,6,1032,1,3,90,0,0,0,0.3241839995469984
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2690017304270276,0.0,7,6,1032,0,2,90,0,0,0,0.2690017304270276
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3504026762986827,0.0,7,5,1032,2,2,89,0,0,0,0.3504026762986827
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.290109184996073,0.0,7,5,1032,0,3,90,0,0,0,0.290109184996073
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2693803394775934,0.0,7,5,1032,0,2,90,0,0,0,0.2693803394775934
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3678186926247112,0.0,6,5,1032,0,0,91,0,0,0,0.3678186926247112
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2661621625477837,0.0,6,5,1032,1,3,91,0,0,0,0.2661621625477837
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2863230944904147,0.0,6,5,1032,2,4,91,0,0,0,0.2863230944904147
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4016095503877122,0.0,6,5,1032,1,3,91,0,0,0,0.4016095503877122
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3135829461311551,0.0,6,5,1032,2,3,92,0,0,0,0.3135829461311551
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3185995160511523,0.0,6,5,1032,0,4,92,0,0,0,0.3185995160511523
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3184102115258693,0.0,6,5,1032,1,3,91,0,0,0,0.3184102115258693
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2662568148104253,0.0,6,5,1032,1,3,91,0,0,0,0.2662568148104253
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.336867402740954,0.0,5,4,1032,2,3,91,0,0,0,0.336867402740954
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3015621087756896,0.0,5,4,1032,2,4,92,0,0,0,0.3015621087756896
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2730717777206104,0.0,5,4,1032,1,4,91,0,0,0,0.2730717777206104
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.3552299416933971,0.0,5,4,1032,2,3,92,0,0,0,0.3552299416933971
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2955990162292777,0.0,5,4,1032,2,4,92,0,0,0,0.2955990162292777
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3432091043379318,0.0,5,4,1032,2,3,92,0,0,0,0.3432091043379318
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39498389200281,0.0,5,3,1031,2,4,92,0,0,0,0.39498389200281
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2764792591757028,0.0,5,3,1031,2,5,92,0,0,0,0.2764792591757028
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.3033605017658774,0.0,5,3,1031,2,5,92,0,0,0,0.3033605017658774
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3394230138322733,0.0,5,3,1031,2,5,92,0,0,0,0.3394230138322733
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.377,0.0,0.0,0.0,0.0,0.0,0.439281150919013,0.0,4,3,1031,2,3,92,0,0,0,0.439281150919013
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.387,0.0,0.0,0.0,0.0,0.14,1.086229366073388,0.0,4,3,1031,2,4,92,0,0,0,1.086229366073388
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456,0.0,0.0,0.0,0.0,0.0,1.088122411326217,0.0,4,3,1030,2,6,92,0,0,0,1.088122411326217
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,1.021392566163988,0.0,4,3,1030,3,8,92,0,0,0,1.021392566163988
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.3326080509220883,0.0,4,3,1030,2,4,92,0,0,0,0.3326080509220883
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.3581641618352824,0.0,4,2,1030,4,9,92,0,0,0,0.3581641618352824
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3056321560692725,0.0,4,3,1030,1,5,93,0,0,0,0.3056321560692725
