AC1,AC2,AC3,AC4,Dish washer,Washing Machine,Dryer,Water heater,TV,Microwave,Kettle,Lighting,Refrigerator,Consumption_Total,Generation_Total,TemperatureC,DewpointC,PressurehPa,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,dailyrainMM,SolarRadiationWatts_m2,Power_Demand
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,0.0,0.0,0.0,0.0,0.0,2.677445367083165,0.0,8,4,1030,5,7,76,0,0,0,2.677445367083165
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0,2.733736518422043,0.0,8,4,1030,3,6,76,0,0,0,2.733736518422043
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.557,0.0,0.0,0.0,0.0,0.0,2.784639599859466,0.0,8,4,1030,4,6,78,0,0,0,2.784639599859466
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101,0.0,0.0,0.0,0.0,0.0,2.653908009092603,0.0,8,4,1030,3,6,78,0,0,0,2.653908009092603
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,2.723669335185115,0.0,8,4,1030,2,8,78,0,0,0,2.723669335185115
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.793,0.0,0.0,0.0,0.0,0.0,2.69020658527082,0.0,7,4,1030,3,4,78,0,0,0,2.69020658527082
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103,0.0,0.0,0.0,0.0,0.0,2.650505017575894,0.0,7,4,1030,4,8,80,0,0,0,2.650505017575894
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.418,0.0,0.0,0.0,0.0,0.0,2.66950505354418,0.0,7,4,1030,3,7,81,0,0,0,2.66950505354418
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397,0.0,0.0,0.0,0.0,0.0,2.698288690123003,0.0,7,4,1030,4,14,81,0,0,0,2.698288690123003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.0,0.0,0.0,0.0,0.14,2.769609720660672,0.0,7,4,1030,4,9,81,0,0,0,2.769609720660672
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.469,0.0,0.0,0.0,0.0,0.0,2.69984839456816,0.0,6,3,1031,4,10,82,0,0,0,2.69984839456816
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.816826227954995,0.0,6,3,1030,4,7,82,0,0,0,2.816826227954995
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,2.773721668743362,0.0,6,3,1030,3,8,82,0,0,0,2.773721668743362
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,2.741676831961028,0.0,6,3,1030,5,6,82,0,0,0,2.741676831961028
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.695452863859078,0.0,6,3,1030,3,8,81,0,0,0,2.695452863859078
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.600736266644041,0.0,6,3,1030,3,6,81,0,0,0,2.600736266644041
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.648945313130736,0.0,6,3,1030,3,5,81,0,0,0,2.648945313130736
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,2.593221327044644,0.0,6,3,1030,4,10,82,0,0,0,2.593221327044644
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.592795953105056,0.0,6,3,1030,4,6,82,0,0,0,2.592795953105056
