AC1,AC2,AC3,AC4,Dish washer,Washing Machine,Dryer,Water heater,TV,Microwave,Kettle,Lighting,Refrigerator,Consumption_Total,Generation_Total,TemperatureC,DewpointC,PressurehPa,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,dailyrainMM,SolarRadiationWatts_m2,Power_Demand
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3585249549461553,0.0,8,4,1030,5,7,76,0,0,0,0.3585249549461553
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3585249549461553,0.0,8,4,1030,3,6,76,0,0,0,0.3585249549461553
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3771981296829343,0.0,8,4,1030,4,6,78,0,0,0,0.3771981296829343
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.377,0.0,0.0,0.0,0.0,0.0,0.3771981296829343,0.0,8,4,1030,3,6,78,0,0,0,0.3771981296829343
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.387,0.0,0.0,0.0,0.0,0.0,0.6684996555766854,0.0,8,4,1030,2,8,78,0,0,0,0.6684996555766854
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456,0.0,0.0,0.0,0.0,0.0,0.6684996555766854,0.0,7,4,1030,3,4,78,0,0,0,0.6684996555766854
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.2166088269466355,0.0,7,4,1030,4,8,80,0,0,0,0.2166088269466355
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2166088269466355,0.0,7,4,1030,3,7,81,0,0,0,0.2166088269466355
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2240780968413471,0.0,7,4,1030,4,14,81,0,0,0,0.2240780968413471
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2240780968413471,0.0,7,4,1030,4,9,81,0,0,0,0.2240780968413471
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.3174439705252417,0.0,6,3,1031,4,10,82,0,0,0,0.3174439705252417
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.3174439705252417,0.0,6,3,1030,4,7,82,0,0,0,0.3174439705252417
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1867317473677892,0.0,6,3,1030,3,8,82,0,0,0,0.1867317473677892
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1867317473677892,0.0,6,3,1030,5,6,82,0,0,0,0.1867317473677892
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2875668909463954,0.0,6,3,1030,3,8,81,0,0,0,0.2875668909463954
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2875668909463954,0.0,6,3,1030,3,6,81,0,0,0,0.2875668909463954
